2026-05-06 10:47:15,394 | INFO | wpp-digital-twin | Logging system initialized
2026-05-06 10:47:15,454 | INFO | wpp-digital-twin | FastAPI application started
2026-05-06 10:47:15,651 | INFO | uvicorn.error | Started server process [7852]
2026-05-06 10:47:15,651 | INFO | uvicorn.error | Started server process [7852]
2026-05-06 10:47:15,652 | INFO | uvicorn.error | Waiting for application startup.
2026-05-06 10:47:15,652 | INFO | uvicorn.error | Waiting for application startup.
2026-05-06 10:47:15,652 | INFO | uvicorn.error | Application startup complete.
2026-05-06 10:47:15,652 | INFO | uvicorn.error | Application startup complete.
2026-05-06 10:47:15,653 | INFO | uvicorn.error | Uvicorn running on http://0.0.0.0:8000 (Press CTRL+C to quit)
2026-05-06 10:47:15,653 | INFO | uvicorn.error | Uvicorn running on http://0.0.0.0:8000 (Press CTRL+C to quit)
2026-05-06 10:47:32,165 | INFO | uvicorn.access | 127.0.0.1:53708 - "GET /docs HTTP/1.1" 200
2026-05-06 10:47:32,545 | INFO | uvicorn.access | 127.0.0.1:53708 - "GET /openapi.json HTTP/1.1" 200
2026-05-06 10:47:40,952 | INFO | wpp-digital-twin | Loaded model: linear
2026-05-06 10:47:40,959 | INFO | wpp-digital-twin | Loaded model: random_forest
2026-05-06 10:47:40,965 | INFO | uvicorn.access | 127.0.0.1:11225 - "POST /forecast HTTP/1.1" 200
2026-05-07 10:45:46,723 | INFO | wpp-digital-twin | Logging system initialized
2026-05-07 10:45:46,739 | INFO | wpp-digital-twin | FastAPI application started
2026-05-07 10:45:46,949 | INFO | uvicorn.error | Started server process [8436]
2026-05-07 10:45:46,949 | INFO | uvicorn.error | Started server process [8436]
2026-05-07 10:45:46,949 | INFO | uvicorn.error | Waiting for application startup.
2026-05-07 10:45:46,949 | INFO | uvicorn.error | Waiting for application startup.
2026-05-07 10:45:46,949 | INFO | uvicorn.error | Application startup complete.
2026-05-07 10:45:46,949 | INFO | uvicorn.error | Application startup complete.
2026-05-07 10:45:46,949 | INFO | uvicorn.error | Uvicorn running on http://0.0.0.0:8000 (Press CTRL+C to quit)
2026-05-07 10:45:46,949 | INFO | uvicorn.error | Uvicorn running on http://0.0.0.0:8000 (Press CTRL+C to quit)
2026-05-07 10:49:23,843 | INFO | uvicorn.access | 127.0.0.1:63609 - "GET /docs HTTP/1.1" 200
2026-05-07 10:49:24,367 | INFO | uvicorn.access | 127.0.0.1:63609 - "GET /openapi.json HTTP/1.1" 200
2026-05-07 10:49:26,981 | INFO | uvicorn.access | 127.0.0.1:63609 - "GET /docs HTTP/1.1" 200
2026-05-07 10:49:27,214 | INFO | uvicorn.access | 127.0.0.1:63609 - "GET /openapi.json HTTP/1.1" 200
2026-05-07 10:49:27,334 | INFO | uvicorn.access | 127.0.0.1:63609 - "GET /docs HTTP/1.1" 200
2026-05-07 10:49:27,511 | INFO | uvicorn.access | 127.0.0.1:63609 - "GET /openapi.json HTTP/1.1" 200
2026-05-07 10:52:17,087 | INFO | wpp-digital-twin | Logging system initialized
2026-05-07 10:52:17,087 | INFO | wpp-digital-twin | FastAPI application started
2026-05-07 10:53:22,923 | INFO | wpp-digital-twin | Loaded model: linear
2026-05-07 10:53:22,956 | INFO | wpp-digital-twin | Loaded model: random_forest
2026-05-07 10:53:40,568 | ERROR | blockchain.web3_client | ✗ Error fetching batch: Could not transact with/call contract function, is contract deployed correctly and chain synced?
2026-05-07 10:53:56,147 | INFO | hashing.batch_hasher | Created 12461 hourly batches
2026-05-07 10:53:56,165 | INFO | hashing.batch_hasher | Hash verification for 2021-12-31T23:00:00: ✓ PASS
2026-05-07 10:53:56,165 | INFO | hashing.batch_hasher | Hash verification for 2022-01-01T03:00:00: ✓ PASS
2026-05-07 10:53:56,166 | INFO | hashing.batch_hasher | Hash verification for 2022-01-01T04:00:00: ✓ PASS
2026-05-07 10:53:56,166 | INFO | hashing.batch_hasher | Hash verification for 2022-01-01T05:00:00: ✓ PASS
2026-05-07 10:53:56,166 | INFO | hashing.batch_hasher | Hash verification for 2022-01-01T06:00:00: ✓ PASS
2026-05-07 10:53:56,167 | INFO | hashing.batch_hasher | Hash verification for 2022-01-01T07:00:00: ✓ PASS
2026-05-07 10:53:56,167 | INFO | hashing.batch_hasher | Hash verification for 2022-01-01T08:00:00: ✓ PASS
2026-05-07 10:53:56,168 | INFO | hashing.batch_hasher | Hash verification for 2022-01-01T09:00:00: ✓ PASS
2026-05-07 10:53:56,168 | INFO | hashing.batch_hasher | Hash verification for 2022-01-01T10:00:00: ✓ PASS
2026-05-07 10:53:56,168 | INFO | hashing.batch_hasher | Hash verification for 2022-01-01T11:00:00: ✓ PASS
2026-05-07 10:53:56,168 | INFO | hashing.batch_hasher | Hash verification for 2022-01-01T13:00:00: ✓ PASS
2026-05-07 10:53:56,169 | INFO | hashing.batch_hasher | Hash verification for 2022-01-01T14:00:00: ✓ PASS
2026-05-07 10:53:56,169 | INFO | hashing.batch_hasher | Hash verification for 2022-01-01T15:00:00: ✓ PASS
2026-05-07 10:53:56,169 | INFO | hashing.batch_hasher | Hash verification for 2022-01-01T16:00:00: ✓ PASS
2026-05-07 10:53:56,170 | INFO | hashing.batch_hasher | Hash verification for 2022-01-01T17:00:00: ✓ PASS
2026-05-07 10:53:56,170 | INFO | hashing.batch_hasher | Hash verification for 2022-01-01T18:00:00: ✓ PASS
2026-05-07 10:53:56,171 | INFO | hashing.batch_hasher | Hash verification for 2022-01-01T19:00:00: ✓ PASS
2026-05-07 10:53:56,172 | INFO | hashing.batch_hasher | Hash verification for 2022-01-01T20:00:00: ✓ PASS
2026-05-07 10:53:56,172 | INFO | hashing.batch_hasher | Hash verification for 2022-01-01T21:00:00: ✓ PASS
2026-05-07 10:53:56,173 | INFO | hashing.batch_hasher | Hash verification for 2022-01-01T22:00:00: ✓ PASS
2026-05-07 10:53:56,173 | INFO | hashing.batch_hasher | Hash verification for 2022-01-01T23:00:00: ✓ PASS
2026-05-07 10:53:56,173 | INFO | hashing.batch_hasher | Hash verification for 2022-01-02T00:00:00: ✓ PASS
2026-05-07 10:53:56,174 | INFO | hashing.batch_hasher | Hash verification for 2022-01-02T01:00:00: ✓ PASS
2026-05-07 10:53:56,174 | INFO | hashing.batch_hasher | Hash verification for 2022-01-02T02:00:00: ✓ PASS
2026-05-07 10:53:56,174 | INFO | hashing.batch_hasher | Hash verification for 2022-01-02T03:00:00: ✓ PASS
2026-05-07 10:53:56,175 | INFO | hashing.batch_hasher | Hash verification for 2022-01-02T04:00:00: ✓ PASS
2026-05-07 10:53:56,175 | INFO | hashing.batch_hasher | Hash verification for 2022-01-02T05:00:00: ✓ PASS
2026-05-07 10:53:56,176 | INFO | hashing.batch_hasher | Hash verification for 2022-01-02T06:00:00: ✓ PASS
2026-05-07 10:53:56,177 | INFO | hashing.batch_hasher | Hash verification for 2022-01-02T07:00:00: ✓ PASS
2026-05-07 10:53:56,177 | INFO | hashing.batch_hasher | Hash verification for 2022-01-02T08:00:00: ✓ PASS
2026-05-07 10:53:56,178 | INFO | hashing.batch_hasher | Hash verification for 2022-01-02T09:00:00: ✓ PASS
2026-05-07 10:53:56,178 | INFO | hashing.batch_hasher | Hash verification for 2022-01-02T10:00:00: ✓ PASS
2026-05-07 10:53:56,178 | INFO | hashing.batch_hasher | Hash verification for 2022-01-02T11:00:00: ✓ PASS
2026-05-07 10:53:56,179 | INFO | hashing.batch_hasher | Hash verification for 2022-01-02T12:00:00: ✓ PASS
2026-05-07 10:53:56,179 | INFO | hashing.batch_hasher | Hash verification for 2022-01-02T13:00:00: ✓ PASS
2026-05-07 10:53:56,180 | INFO | hashing.batch_hasher | Hash verification for 2022-01-02T14:00:00: ✓ PASS
